game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
563,563,20,15,22,37,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
564,564,33,19,19,23,0,4,58,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
565,565,25,35,20,27,1,5,67,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
566,566,29,26,43,26,2,5,68,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
567,567,18,18,25,18,2,5,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
568,568,40,29,24,34,0,5,70,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
569,569,16,44,18,16,1,4,71,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
570,570,15,17,33,18,2,3,44,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
571,571,18,19,23,36,3,4,53,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
572,572,31,16,27,20,0,4,69,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
573,573,28,37,21,16,1,4,51,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
574,574,21,21,31,17,2,4,54,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
575,575,22,23,25,32,3,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
576,576,34,19,23,22,0,5,80,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
577,577,15,37,18,15,1,4,56,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
578,578,22,21,38,24,2,4,61,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
579,579,28,25,17,47,3,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
580,580,37,22,28,27,0,5,75,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
