game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
375,375,27,23,24,35,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
376,376,36,18,25,21,0,5,68,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
377,377,20,29,22,14,1,3,51,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
378,378,14,14,29,11,2,4,45,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
379,379,10,11,11,38,3,3,43,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
380,380,33,12,16,16,0,4,56,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
381,381,15,26,17,13,1,3,39,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
382,382,24,22,26,21,2,4,68,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
383,383,30,29,39,19,2,5,80,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
384,384,33,16,17,21,0,4,55,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
385,385,23,45,17,12,1,5,75,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
386,386,19,21,23,25,3,4,58,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
387,387,20,19,23,26,3,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
388,388,40,29,32,24,0,5,75,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
389,389,18,20,18,17,1,3,45,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
390,390,20,14,32,18,2,4,49,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
391,391,19,18,19,18,tie,3,42,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
392,392,22,18,14,18,0,4,55,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
393,393,24,41,16,24,1,5,69,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
394,394,22,25,31,24,2,4,64,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
395,395,11,15,12,31,3,3,42,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
396,396,34,16,20,25,0,4,48,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
397,397,26,27,24,24,1,5,89,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
398,398,18,21,20,22,3,5,69,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
