game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
669,669,43,41,0,4,50,HeuristicAgent,BoundedGreedyAgent,1
670,670,51,42,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
671,671,51,62,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
672,672,57,29,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
673,673,58,60,1,5,73,HeuristicAgent,BoundedGreedyAgent,1
674,674,64,46,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
675,675,58,55,0,5,64,HeuristicAgent,BoundedGreedyAgent,1
676,676,45,35,0,4,54,BoundedGreedyAgent,HeuristicAgent,0
677,677,38,50,1,4,49,HeuristicAgent,BoundedGreedyAgent,1
678,678,42,25,0,5,74,BoundedGreedyAgent,HeuristicAgent,0
679,679,55,65,1,5,67,HeuristicAgent,BoundedGreedyAgent,1
680,680,43,39,0,5,72,BoundedGreedyAgent,HeuristicAgent,0
681,681,45,56,1,5,57,HeuristicAgent,BoundedGreedyAgent,1
682,682,53,46,0,5,78,BoundedGreedyAgent,HeuristicAgent,0
683,683,24,40,1,4,40,HeuristicAgent,BoundedGreedyAgent,1
684,684,38,31,0,4,58,BoundedGreedyAgent,HeuristicAgent,0
685,685,46,60,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
686,686,54,56,1,6,76,BoundedGreedyAgent,HeuristicAgent,0
687,687,42,59,1,5,78,HeuristicAgent,BoundedGreedyAgent,1
688,688,64,49,0,5,59,BoundedGreedyAgent,HeuristicAgent,0
689,689,58,68,1,6,87,HeuristicAgent,BoundedGreedyAgent,1
690,690,72,41,0,6,71,BoundedGreedyAgent,HeuristicAgent,0
691,691,44,44,tie,5,54,HeuristicAgent,BoundedGreedyAgent,1
692,692,60,35,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
693,693,32,60,1,5,68,HeuristicAgent,BoundedGreedyAgent,1
694,694,54,43,0,4,49,BoundedGreedyAgent,HeuristicAgent,0
695,695,40,52,1,4,56,HeuristicAgent,BoundedGreedyAgent,1
696,696,72,41,0,5,65,BoundedGreedyAgent,HeuristicAgent,0
697,697,60,76,1,6,81,HeuristicAgent,BoundedGreedyAgent,1
698,698,67,44,0,5,55,BoundedGreedyAgent,HeuristicAgent,0
