game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
388,388,81,20,0,6,107,HeuristicAgent,RandomAgent,0
389,389,4,68,1,4,69,RandomAgent,HeuristicAgent,1
390,390,89,24,0,6,101,HeuristicAgent,RandomAgent,0
391,391,9,64,1,5,83,RandomAgent,HeuristicAgent,1
392,392,43,9,0,4,60,HeuristicAgent,RandomAgent,0
393,393,28,44,1,5,79,RandomAgent,HeuristicAgent,1
394,394,79,8,0,5,96,HeuristicAgent,RandomAgent,0
395,395,30,22,0,3,45,RandomAgent,HeuristicAgent,1
396,396,55,18,0,5,74,HeuristicAgent,RandomAgent,0
397,397,30,45,1,5,85,RandomAgent,HeuristicAgent,1
398,398,53,21,0,5,89,HeuristicAgent,RandomAgent,0
399,399,12,64,1,5,86,RandomAgent,HeuristicAgent,1
400,400,85,30,0,8,134,HeuristicAgent,RandomAgent,0
401,401,8,54,1,4,78,RandomAgent,HeuristicAgent,1
402,402,75,32,0,5,91,HeuristicAgent,RandomAgent,0
403,403,31,74,1,5,90,RandomAgent,HeuristicAgent,1
404,404,61,0,0,5,97,HeuristicAgent,RandomAgent,0
405,405,23,47,1,5,92,RandomAgent,HeuristicAgent,1
406,406,61,13,0,5,80,HeuristicAgent,RandomAgent,0
407,407,15,66,1,5,86,RandomAgent,HeuristicAgent,1
408,408,75,4,0,5,97,HeuristicAgent,RandomAgent,0
409,409,26,54,1,5,90,RandomAgent,HeuristicAgent,1
410,410,85,15,0,6,105,HeuristicAgent,RandomAgent,0
411,411,17,49,1,4,65,RandomAgent,HeuristicAgent,1
412,412,38,17,0,4,71,HeuristicAgent,RandomAgent,0
413,413,9,90,1,6,120,RandomAgent,HeuristicAgent,1
414,414,53,20,0,4,67,HeuristicAgent,RandomAgent,0
415,415,11,68,1,5,110,RandomAgent,HeuristicAgent,1
416,416,66,16,0,4,70,HeuristicAgent,RandomAgent,0
417,417,26,48,1,5,89,RandomAgent,HeuristicAgent,1
418,418,74,22,0,5,85,HeuristicAgent,RandomAgent,0
419,419,36,53,1,5,74,RandomAgent,HeuristicAgent,1
420,420,29,17,0,3,45,HeuristicAgent,RandomAgent,0
421,421,25,100,1,7,130,RandomAgent,HeuristicAgent,1
422,422,58,9,0,4,65,HeuristicAgent,RandomAgent,0
423,423,9,52,1,4,78,RandomAgent,HeuristicAgent,1
424,424,69,10,0,5,81,HeuristicAgent,RandomAgent,0
425,425,0,77,1,5,78,RandomAgent,HeuristicAgent,1
426,426,65,13,0,4,83,HeuristicAgent,RandomAgent,0
427,427,31,50,1,4,66,RandomAgent,HeuristicAgent,1
428,428,78,7,0,6,90,HeuristicAgent,RandomAgent,0
429,429,5,62,1,4,76,RandomAgent,HeuristicAgent,1
430,430,68,18,0,6,109,HeuristicAgent,RandomAgent,0
431,431,13,89,1,6,106,RandomAgent,HeuristicAgent,1
432,432,63,5,0,5,83,HeuristicAgent,RandomAgent,0
433,433,27,42,1,5,90,RandomAgent,HeuristicAgent,1
