game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
461,461,14,76,0,0,1,6,154,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
462,462,13,16,68,14,2,7,164,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
463,463,14,19,7,60,3,6,127,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
464,464,59,10,4,11,0,5,118,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
465,465,23,54,19,17,1,7,167,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
466,466,6,22,46,21,2,5,124,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
467,467,20,28,0,55,3,5,138,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
468,468,42,36,1,6,0,5,121,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
469,469,10,51,15,0,1,5,134,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
470,470,13,27,58,4,2,5,106,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
471,471,14,9,4,24,3,3,67,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
472,472,73,4,11,10,0,6,156,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
473,473,17,63,14,6,1,6,150,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
474,474,20,26,21,15,1,5,120,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
475,475,9,15,7,40,3,5,105,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
476,476,61,9,2,25,0,6,132,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
477,477,0,48,36,8,1,6,125,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
478,478,6,11,53,11,2,6,140,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
479,479,14,10,21,25,3,4,93,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
480,480,53,19,0,8,0,4,86,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
481,481,27,82,12,5,1,7,167,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
482,482,15,16,49,5,2,5,125,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
483,483,34,17,9,33,0,5,127,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
484,484,49,22,5,14,0,6,136,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
485,485,20,48,11,16,1,5,125,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
486,486,0,8,56,19,2,5,135,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
487,487,15,12,10,49,3,6,136,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
488,488,43,7,19,4,0,5,103,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
489,489,2,52,18,21,1,6,150,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
490,490,19,22,36,0,2,4,106,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
491,491,20,20,1,46,3,5,121,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
492,492,61,12,0,0,0,5,127,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
493,493,17,46,7,18,1,5,113,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
494,494,7,15,38,18,2,6,128,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
495,495,4,0,4,49,3,5,103,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
496,496,32,25,15,0,0,5,116,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
497,497,3,75,25,19,1,7,147,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
498,498,25,11,37,9,2,5,129,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
499,499,12,33,20,36,3,6,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
